epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1086.33,0.4502,0.27814,0.81227,0.98912,0.99072,0.99159,0.89583,0.4189,0.24116,0.80221,0.000843851,0.000843851,0.000843851
80,1100.13,0.45041,0.28018,0.81278,0.99079,0.99153,0.9921,0.89512,0.42561,0.23791,0.80455,0.000840054,0.000840054,0.000840054
81,1113.79,0.44679,0.27779,0.81213,0.99156,0.98892,0.99182,0.89644,0.42205,0.23754,0.80363,0.00083622,0.00083622,0.00083622
82,1127.71,0.44616,0.27733,0.81218,0.99213,0.98942,0.99232,0.89572,0.42391,0.23865,0.80406,0.000832349,0.000832349,0.000832349
83,1141.57,0.44494,0.2777,0.81161,0.99167,0.98995,0.9929,0.9024,0.4097,0.2327,0.80398,0.000828443,0.000828443,0.000828443
84,1155.3,0.44563,0.27548,0.81356,0.98894,0.99121,0.99268,0.89693,0.41987,0.23442,0.80216,0.000824502,0.000824502,0.000824502
85,1169.02,0.44334,0.27522,0.81248,0.99034,0.98953,0.99259,0.90235,0.41088,0.23301,0.80304,0.000820525,0.000820525,0.000820525
86,1182.76,0.44288,0.27423,0.81165,0.99102,0.98661,0.99207,0.89358,0.42829,0.23722,0.80539,0.000816514,0.000816514,0.000816514
87,1196.39,0.44473,0.27806,0.81084,0.99046,0.98764,0.99096,0.89239,0.43787,0.23966,0.80383,0.000812468,0.000812468,0.000812468
88,1210.28,0.44044,0.27436,0.81129,0.98775,0.98688,0.99202,0.90255,0.41215,0.23467,0.80104,0.000808389,0.000808389,0.000808389
89,1224,0.438,0.27226,0.81145,0.99012,0.9886,0.99233,0.90543,0.40397,0.23122,0.80199,0.000804277,0.000804277,0.000804277
90,1237.71,0.43927,0.27243,0.81303,0.98794,0.99014,0.99257,0.90061,0.41306,0.23289,0.80474,0.000800131,0.000800131,0.000800131
91,1251.66,0.44309,0.27375,0.81192,0.99013,0.99144,0.99262,0.90399,0.40366,0.22922,0.80366,0.000795954,0.000795954,0.000795954
92,1265.54,0.43483,0.26733,0.80793,0.99007,0.98899,0.99205,0.89711,0.42413,0.23475,0.80587,0.000791744,0.000791744,0.000791744
93,1278.98,0.43488,0.2695,0.8119,0.98953,0.98987,0.99287,0.89821,0.41534,0.23383,0.80483,0.000787503,0.000787503,0.000787503
94,1292.74,0.43709,0.27158,0.80977,0.99244,0.9894,0.99257,0.89915,0.40797,0.23204,0.80502,0.000783231,0.000783231,0.000783231
95,1306.7,0.44388,0.27277,0.81122,0.98921,0.99145,0.99162,0.88069,0.46772,0.24327,0.80785,0.000778929,0.000778929,0.000778929
96,1320.55,0.44344,0.27182,0.81274,0.99043,0.99024,0.99262,0.90635,0.40392,0.2303,0.80031,0.000774596,0.000774596,0.000774596
97,1334.39,0.44167,0.26967,0.81292,0.99201,0.9892,0.9924,0.90563,0.41018,0.22638,0.80504,0.000770234,0.000770234,0.000770234
98,1348.18,0.43202,0.26663,0.80926,0.98964,0.99232,0.99206,0.90259,0.41689,0.22971,0.80428,0.000765843,0.000765843,0.000765843
99,1361.9,0.44182,0.27126,0.80809,0.99044,0.99033,0.99262,0.90369,0.41037,0.22953,0.80169,0.000761423,0.000761423,0.000761423
100,1375.41,0.43215,0.26372,0.80926,0.99244,0.98719,0.99183,0.90223,0.40903,0.22984,0.80365,0.000756976,0.000756976,0.000756976
101,1389.24,0.43536,0.27061,0.81113,0.99,0.9869,0.99162,0.89684,0.41583,0.23031,0.80439,0.0007525,0.0007525,0.0007525
102,1403,0.42649,0.2649,0.8076,0.99139,0.98683,0.99258,0.89256,0.44247,0.23686,0.80431,0.000747997,0.000747997,0.000747997
103,1416.75,0.43347,0.26561,0.8097,0.99018,0.99284,0.99341,0.9046,0.40178,0.22746,0.79867,0.000743468,0.000743468,0.000743468
104,1430.52,0.43507,0.26669,0.81283,0.98903,0.99354,0.99224,0.8955,0.42723,0.22833,0.80195,0.000738913,0.000738913,0.000738913
105,1444.41,0.43815,0.26632,0.80963,0.99046,0.98877,0.99258,0.89888,0.41632,0.22918,0.80115,0.000734332,0.000734332,0.000734332
106,1458.19,0.42713,0.26293,0.80912,0.99014,0.98926,0.99249,0.90222,0.40476,0.22666,0.80266,0.000729725,0.000729725,0.000729725
107,1472.15,0.43605,0.26582,0.80954,0.99212,0.98738,0.9927,0.89473,0.4358,0.23461,0.80484,0.000725094,0.000725094,0.000725094
108,1486.1,0.43641,0.26334,0.80963,0.98893,0.99167,0.9921,0.90494,0.40789,0.2268,0.8015,0.000720439,0.000720439,0.000720439
109,1500.35,0.43107,0.2646,0.80615,0.99008,0.98981,0.99208,0.90323,0.42218,0.22785,0.7996,0.000715761,0.000715761,0.000715761
110,1514.11,0.42435,0.25916,0.80723,0.98808,0.99145,0.9926,0.89056,0.43896,0.22945,0.80398,0.000711059,0.000711059,0.000711059
111,1527.92,0.42283,0.25864,0.80891,0.992,0.99115,0.99217,0.9022,0.40401,0.22404,0.80074,0.000706335,0.000706335,0.000706335
112,1541.66,0.42233,0.25833,0.80904,0.99167,0.99229,0.99191,0.90375,0.40167,0.22216,0.79903,0.000701588,0.000701588,0.000701588
113,1555.37,0.42095,0.25968,0.80664,0.98972,0.98828,0.99257,0.903,0.40482,0.22379,0.80007,0.00069682,0.00069682,0.00069682
114,1569.21,0.42905,0.26338,0.80673,0.99046,0.98737,0.99158,0.90177,0.40474,0.22844,0.80025,0.000692031,0.000692031,0.000692031
115,1583.06,0.41838,0.25743,0.80513,0.98984,0.98722,0.9913,0.89657,0.4253,0.23078,0.80273,0.000687222,0.000687222,0.000687222
116,1596.7,0.42636,0.2609,0.80933,0.98513,0.99022,0.99142,0.89985,0.40957,0.2289,0.80096,0.000682392,0.000682392,0.000682392
117,1610.57,0.42913,0.26027,0.80775,0.99159,0.98777,0.99227,0.89404,0.43913,0.23569,0.80169,0.000677543,0.000677543,0.000677543
118,1624.99,0.41772,0.25746,0.80537,0.99016,0.9905,0.99163,0.9025,0.40486,0.22409,0.79862,0.000672675,0.000672675,0.000672675
119,1639.63,0.42166,0.25837,0.8089,0.99081,0.99081,0.99261,0.89979,0.41056,0.22575,0.80203,0.000667789,0.000667789,0.000667789
120,1654.35,0.4193,0.25755,0.8054,0.99208,0.98973,0.99198,0.90109,0.40498,0.2234,0.80346,0.000662885,0.000662885,0.000662885
121,1668.91,0.41716,0.25727,0.8064,0.98966,0.99074,0.99164,0.89978,0.41415,0.22352,0.80262,0.000657963,0.000657963,0.000657963
122,1683.42,0.41927,0.25858,0.80611,0.99217,0.98901,0.99201,0.9014,0.41289,0.22318,0.80377,0.000653025,0.000653025,0.000653025
123,1697.92,0.41729,0.2539,0.80436,0.9919,0.99026,0.99188,0.90045,0.40991,0.22256,0.80227,0.000648071,0.000648071,0.000648071
124,1712.16,0.40726,0.25324,0.80748,0.99079,0.98825,0.99162,0.90049,0.41096,0.22427,0.80281,0.000643101,0.000643101,0.000643101
125,1726.88,0.41214,0.25269,0.80599,0.99147,0.98708,0.99191,0.89954,0.41803,0.22571,0.80613,0.000638115,0.000638115,0.000638115
126,1741.6,0.41357,0.25585,0.80462,0.99096,0.99041,0.99297,0.90236,0.41156,0.22416,0.80025,0.000633115,0.000633115,0.000633115
127,1756.22,0.41364,0.25323,0.80484,0.99127,0.98827,0.99201,0.90266,0.40616,0.22684,0.80301,0.000628101,0.000628101,0.000628101
128,1770.68,0.4209,0.25464,0.80432,0.99059,0.98929,0.99139,0.89778,0.43018,0.22994,0.8063,0.000623074,0.000623074,0.000623074
129,1785.12,0.41193,0.2553,0.803,0.99149,0.99177,0.99146,0.89834,0.41527,0.2238,0.80543,0.000618034,0.000618034,0.000618034
130,1799.56,0.41026,0.25092,0.80234,0.99256,0.99048,0.99187,0.89829,0.42063,0.22231,0.80612,0.000612981,0.000612981,0.000612981
131,1814.1,0.413,0.25264,0.80519,0.99069,0.99284,0.99185,0.89922,0.42052,0.22363,0.80552,0.000607916,0.000607916,0.000607916
132,1828.45,0.41585,0.25509,0.80416,0.98949,0.98988,0.99158,0.89971,0.4103,0.22539,0.80589,0.00060284,0.00060284,0.00060284
133,1843.11,0.40904,0.25082,0.8023,0.99003,0.98905,0.99183,0.89797,0.41335,0.22615,0.80481,0.000597754,0.000597754,0.000597754
134,1857.72,0.40878,0.252,0.80649,0.99181,0.99075,0.99132,0.89571,0.41656,0.2233,0.80729,0.000592657,0.000592657,0.000592657
135,1872.35,0.40368,0.24905,0.80464,0.99218,0.9913,0.99204,0.90007,0.40739,0.22215,0.80124,0.000587551,0.000587551,0.000587551
136,1886.92,0.40714,0.24946,0.80449,0.99236,0.9909,0.99158,0.90117,0.40463,0.21789,0.80268,0.000582435,0.000582435,0.000582435
137,1901.48,0.40393,0.24654,0.80365,0.99148,0.99158,0.99227,0.8992,0.42187,0.22412,0.80428,0.000577311,0.000577311,0.000577311
138,1916.15,0.41003,0.25007,0.80549,0.99064,0.99109,0.99202,0.90279,0.40551,0.22204,0.80347,0.000572179,0.000572179,0.000572179
139,1930.82,0.41016,0.25085,0.80407,0.99098,0.99124,0.99166,0.9041,0.40629,0.22021,0.80125,0.00056704,0.00056704,0.00056704
140,1944.83,0.40582,0.24962,0.80447,0.98824,0.99045,0.99201,0.89878,0.41008,0.22173,0.80272,0.000561894,0.000561894,0.000561894
141,1959.09,0.4003,0.24761,0.80041,0.99269,0.98879,0.99195,0.90147,0.4085,0.22218,0.80258,0.000556742,0.000556742,0.000556742
142,1973.38,0.39773,0.24261,0.80168,0.99137,0.98966,0.99188,0.90178,0.40824,0.21999,0.80244,0.000551584,0.000551584,0.000551584
143,1987.78,0.40338,0.24664,0.80363,0.99197,0.989,0.99256,0.89348,0.43501,0.2251,0.80696,0.000546421,0.000546421,0.000546421
144,2001.92,0.40296,0.24641,0.80351,0.99105,0.99139,0.99151,0.89937,0.40811,0.21904,0.80519,0.000541253,0.000541253,0.000541253
145,2015.78,0.40432,0.2486,0.80229,0.99042,0.98947,0.99158,0.89951,0.41049,0.22239,0.80722,0.000536081,0.000536081,0.000536081
146,2029.67,0.40486,0.24768,0.8049,0.99152,0.98872,0.99184,0.89833,0.41095,0.2219,0.80554,0.000530906,0.000530906,0.000530906
147,2044.09,0.4026,0.24458,0.80281,0.98969,0.99104,0.99137,0.89673,0.41514,0.22117,0.80562,0.000525728,0.000525728,0.000525728
148,2057.66,0.3987,0.24599,0.80264,0.98982,0.99049,0.99132,0.90507,0.40112,0.22113,0.80296,0.000520548,0.000520548,0.000520548
149,2071.6,0.40559,0.2495,0.80231,0.9906,0.99174,0.99153,0.90035,0.40888,0.22117,0.80196,0.000515366,0.000515366,0.000515366
150,2085.71,0.40551,0.24662,0.80353,0.99133,0.99115,0.99178,0.90316,0.404,0.2216,0.80223,0.000510184,0.000510184,0.000510184
151,2099.49,0.40163,0.24523,0.8012,0.99027,0.9911,0.99207,0.90185,0.40947,0.21896,0.80289,0.000505,0.000505,0.000505
152,2113.27,0.39665,0.24115,0.80497,0.99037,0.98964,0.99138,0.89852,0.40715,0.21902,0.80477,0.000499816,0.000499816,0.000499816
153,2126.91,0.39918,0.24404,0.80035,0.99122,0.99079,0.99227,0.90176,0.4137,0.21987,0.80339,0.000494634,0.000494634,0.000494634
154,2140.55,0.39803,0.2431,0.80228,0.99184,0.99084,0.99247,0.90095,0.41565,0.21761,0.8041,0.000489452,0.000489452,0.000489452
155,2154.12,0.39427,0.24215,0.80136,0.99241,0.98853,0.99196,0.90373,0.40668,0.21859,0.80422,0.000484272,0.000484272,0.000484272
156,2167.47,0.39854,0.24399,0.79978,0.99275,0.98897,0.99188,0.90261,0.40526,0.22137,0.8028,0.000479094,0.000479094,0.000479094
157,2180.96,0.40112,0.24591,0.80325,0.9918,0.99008,0.99161,0.89764,0.41856,0.22282,0.80593,0.000473919,0.000473919,0.000473919
158,2194.55,0.40413,0.24564,0.80351,0.99128,0.99021,0.99157,0.90058,0.40356,0.21826,0.80434,0.000468747,0.000468747,0.000468747
159,2208.16,0.40087,0.24449,0.8017,0.99172,0.98907,0.99047,0.8913,0.42883,0.22448,0.80695,0.000463579,0.000463579,0.000463579
160,2221.77,0.39296,0.24021,0.80166,0.99326,0.98872,0.99085,0.89909,0.40732,0.21965,0.8034,0.000458416,0.000458416,0.000458416
161,2235.52,0.39736,0.2431,0.80139,0.99088,0.99006,0.99071,0.90044,0.40407,0.21961,0.80191,0.000453258,0.000453258,0.000453258
162,2249.1,0.39287,0.24087,0.8038,0.99262,0.98968,0.99062,0.89758,0.41173,0.22116,0.80584,0.000448106,0.000448106,0.000448106
163,2262.98,0.39631,0.24224,0.80337,0.9916,0.9887,0.99234,0.90202,0.40486,0.21803,0.80582,0.00044296,0.00044296,0.00044296
164,2276.64,0.38616,0.23736,0.7992,0.99289,0.98788,0.9922,0.89693,0.42,0.22344,0.80618,0.000437821,0.000437821,0.000437821
165,2290.59,0.38607,0.23921,0.79951,0.99081,0.98772,0.99125,0.90141,0.40869,0.22033,0.80534,0.000432689,0.000432689,0.000432689
166,2304.54,0.39399,0.24041,0.79992,0.9914,0.98993,0.99154,0.89825,0.40675,0.21852,0.80387,0.000427565,0.000427565,0.000427565
167,2318.68,0.38523,0.23644,0.80127,0.99169,0.99042,0.99161,0.89771,0.4142,0.21871,0.80523,0.000422449,0.000422449,0.000422449
168,2332.49,0.39287,0.23943,0.80056,0.99048,0.99122,0.99155,0.90166,0.40795,0.21897,0.80558,0.000417343,0.000417343,0.000417343
169,2346.66,0.39732,0.24117,0.80162,0.991,0.98916,0.99201,0.90315,0.4059,0.21911,0.80454,0.000412246,0.000412246,0.000412246
